"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
20,0.249312016669318,0.0303328337900533,0.191236776038994,0.307743564374621,1.00077720255868,4500,2022,"MM.p.uw","Southern Africa"
21,0.302586571412813,0.0299813237930007,0.241915067110376,0.359622667767591,1.00170235550769,1900,2023,"MM.p.uw","Southern Africa"
22,0.311650387418781,0.0323837517336103,0.247999296844283,0.376025344097058,1.00228552854782,1200,2024,"MM.p.uw","Southern Africa"
23,0.261677189225649,0.0271147758295616,0.208739241084675,0.314621288900915,1.00071029071117,4500,2025,"MM.p.uw","Southern Africa"
1,0.400453093376582,0.0994319362846468,0.218249896829649,0.607253803428218,1.00092662973215,4500,2003,"MM.p.uw","West Africa"
2,0.502230617230768,0.0867951086194235,0.338426292235264,0.674144832617367,1.00123825220289,3500,2004,"MM.p.uw","West Africa"
3,0.286934044884071,0.117659609701207,0.0921513017740652,0.540155059301128,1.00084182525935,4500,2005,"MM.p.uw","West Africa"
4,0.358361332343724,0.19920186496295,0.052024388152692,0.77716870039926,1.00078762673463,4500,2006,"MM.p.uw","West Africa"
5,0.600528042439491,0.143235884938878,0.3181354125431,0.859155012653259,1.00206920141584,1400,2007,"MM.p.uw","West Africa"
6,0.745489643803659,0.0955980107170063,0.533084494424871,0.906441797327726,1.00157126734994,2200,2008,"MM.p.uw","West Africa"
7,0.739653736299527,0.0832918098398922,0.567335284665536,0.883191794406317,1.00172484396134,1900,2009,"MM.p.uw","West Africa"
8,0.255082381739002,0.103447089911034,0.0855321436583468,0.483467344799302,1.00198261288075,1500,2010,"MM.p.uw","West Africa"
9,0.649747552018786,0.0974995254214314,0.453463981292622,0.824964627974238,1.00079892344745,4500,2011,"MM.p.uw","West Africa"
10,0.815357134238963,0.0823531246326813,0.630680216897837,0.941232440695683,1.00200096249069,1500,2012,"MM.p.uw","West Africa"
11,0.66617696412303,0.0832124742819213,0.491088421115916,0.812763306806686,1.0025709399107,1100,2013,"MM.p.uw","West Africa"
12,0.744241078981138,0.076557230016153,0.580787792995622,0.874427796177308,1.00208887235652,1400,2014,"MM.p.uw","West Africa"
13,0.67470479784329,0.0831925835403303,0.501887472909579,0.819509553643153,1.00069056071189,4500,2015,"MM.p.uw","West Africa"
14,0.831147992991579,0.0797283288847017,0.637369561422942,0.935381041116949,1.00194380717277,1600,2016,"MM.p.uw","West Africa"
15,0.752911628041536,0.0856051725654995,0.566476929705899,0.896720056175226,1.00122051720257,3600,2017,"MM.p.uw","West Africa"
16,0.57819322164793,0.111956058176588,0.352426705124991,0.782884259401102,1.00103197575623,4500,2018,"MM.p.uw","West Africa"
17,0.488371888668342,0.110555738223987,0.282108150089524,0.70038663431528,1.00163249449336,2100,2019,"MM.p.uw","West Africa"
18,0.456136013464392,0.135402635581622,0.207731607577232,0.730763098453443,1.00105786948269,4500,2020,"MM.p.uw","West Africa"
19,0.6922113615505,0.124121644559374,0.427281609003116,0.893616707253837,1.00159188359517,2200,2021,"MM.p.uw","West Africa"
20,0.427539433068182,0.162372082105359,0.135407142478986,0.747444639561278,1.00141264405124,2700,2022,"MM.p.uw","West Africa"
21,0.643298046615666,0.146896941088009,0.329390403248012,0.885208179593673,1.00107415956242,4500,2023,"MM.p.uw","West Africa"
22,0.430966915364659,0.129201608497912,0.189617574922976,0.686905678923931,1.00298193844495,870,2024,"MM.p.uw","West Africa"
23,0.653123758563669,0.125426457520659,0.391919172729572,0.871555351198318,1.00119777935491,4500,2025,"MM.p.uw","West Africa"
